"","ens_gene","target_id","pval","qval","b","se_b","mean","var","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"6088","WBGene00001117","dyf-1",0.295705184601285,0.8170315291892,0.192032728213683,0.183642501289756,3.85878755614823,0.0488475073095556,0.024051779836133,0.0231788910363651,0.0265350725838038,0.0265350725838038
"6089","WBGene00012295","nmat-1",0.295546533873925,0.8170315291892,0.120418580136103,0.115119469415007,4.98769591987646,0.0173043270192457,0.00703247067139227,0.00916020018691672,0.012846267686197,0.012846267686197
"6090","WBGene00005649","srp-8",0.296154895972534,0.8170315291892,0.205032526968611,0.196256975249037,4.3159681235905,0.0588316615352217,0.0138648209072302,0.0439103795936214,0.0194358122778805,0.0439103795936214
"6091","WBGene00002177","jkk-1",0.296970882897944,0.8170315291892,0.292041446379351,0.280014481202471,2.92348760305838,0.101800115400017,0.0582371342207755,0.0370299326279918,0.0593750303038576,0.0593750303038576
"6092","WBGene00016382","C33H5.16",0.29571731725478,0.8170315291892,-0.167716561987168,0.160392777859531,4.11683625048755,0.0331216585600953,0.0163767791768938,0.0144769770864269,0.0222119856073515,0.0222119856073515
"6093","WBGene00017281","F09D12.2",0.296688312603226,0.8170315291892,0.276508959250431,0.264966615686933,2.93261694489325,0.0421342765074165,0.0464670813084328,-0.022470687378821,0.0588438798344476,0.0588438798344476
"6094","WBGene00008233","C50F4.8",0.296377348687518,0.8170315291892,-0.089948431281546,0.0861382316005781,5.81925632436586,0.00532675897164989,0.00317405569572182,0.000450372910086331,0.00795563671919043,0.00795563671919043
"6095","WBGene00017837","F26G1.1",0.296693987524951,0.8170315291892,0.0637207341821068,0.0610615500162108,8.18329077801139,0.00569231505787067,0.000272862872474514,0.0053199064630988,0.00481939723313036,0.0053199064630988
"6096","WBGene00002033","htp-2",0.29639154291705,0.8170315291892,0.0674723292086529,0.0646161120956415,7.37922729168558,0.00637604489348028,0.000560655634325379,0.00570220727920939,0.00476524407940459,0.00570220727920939
"6097","WBGene00008763","F13G3.3",0.295913329996355,0.8170315291892,-0.186837847567971,0.178751615565874,3.91295010152668,0.0329751808436193,0.0223888119690552,0.00573952110403183,0.0255393981320599,0.0255393981320599
"6098","WBGene00045252","Y62H9A.15",0.296178683289343,0.8170315291892,-0.237675979785067,0.227514467723651,3.95583257859949,0.0790623610383293,0.024327309709151,0.0533169398262136,0.0247878657739736,0.0533169398262136
"6099","WBGene00018151","F37C12.3",0.295863820987292,0.8170315291892,0.0611438496439821,0.0584915835215821,7.91400990832298,0.00293854786103959,0.000404603180619511,0.00186661776469777,0.00472729483367382,0.00472729483367382
"6100","WBGene00000390","cdc-42",0.296369725629304,0.8170315291892,-0.0625824613106612,0.0599305334319972,8.93589899046955,0.00426751522093756,0.000145054830991361,0.00372062752129294,0.00524244842517423,0.00524244842517423
"6101","WBGene00022694","gcna-1",0.296977235959123,0.8170315291892,0.0677275856034987,0.0649392557106754,8.03721809282846,0.00643663607421158,0.000275918828953874,0.00604974156943086,0.00476381102333411,0.00604974156943086
